Country Name,MeanBMI_BothSexes,Continent,Sex
Rwanda,22.7,Africa,Female
Saint Kitts and Nevis,30.9,Carribbean,Female
Saint Lucia,30.2,Carribbean,Female
Saint Vincent and the Grenadines,28.1,Carribbean,Female
Samoa,33.5,Oceania,Female
Sao Tome and Principe,25.6,Carribbean,Female
Saudi Arabia,28.7,Middle East,Female
Senegal,24.1,Africa,Female
Serbia,25.2,Europe,Female
Seychelles,28,Oceania,Female
Sierra Leone,23.6,Africa,Female
Singapore,23.2,Asia,Female
Slovak Republic,25.7,Europe,Female
Slovenia,26.3,Europe,Female
Solomon Islands,26.4,Oceania,Female
Somalia,22.5,Africa,Female
South Africa,29.1,Africa,Female
Spain,26,Europe,Female
Sri Lanka,23.5,Asia,Female
Sudan,26.7,Africa,Female
Suriname,28.2,South America,Female
Swaziland,28.9,Africa,Female
Sweden,24.9,Europe,Female
Switzerland,23.8,Europe,Female
Syria,29,Middle East,Female
Tajikistan,25.3,Middle East,Female
Thailand,24.6,Asia,Female
Timor-Leste,21,Asia,Female
Togo,24,Africa,Female
Tonga,33.5,Oceania,Female
Trinidad and Tobago,29.4,Carribbean,Female
Tunisia,27.5,Middle East,Female
Turkey,28.5,Middle East,Female
Turkmenistan,26.4,Middle East,Female
Tuvalu,29.9,Oceania,Female
UK,27.1,Europe,Female
USA,28.8,North America,Female
Uganda,23,Africa,Female
Ukraine,25.8,Europe,Female
Uruguay,26.9,South America,Female
Uzbekistan,26.3,Asia,Female
Vanuatu,26.8,Oceania,Female
Venezuela,27.1,South America,Female
Yemen,26.5,Middle East,Female
Zambia,23.8,Africa,Female
Zimbabwe,25,Africa,Female
Afghanistan,21.5,Middle East,Male
Albania,26.6,Europe,Male
Algeria,25.5,Middle East,Male
Angola,23.5,Africa,Male
Antigua and Barbuda,27.3,Carribbean,Male
Argentina,27.8,South America,Male
Armenia,25.9,Asia,Male
Australia,27.6,Oceania,Male
Austria,26.5,Europe,Male
Azerbaijan,26.6,Asia,Male
Bahrain,28,Middle East,Male
Bangladesh,20.7,Asia,Male
Barbados,27.4,Carribbean,Male
Belarus,27.1,Europe,Male
Belgium,26.2,Europe,Male
Belize,27.5,Central America,Male
Benin,22.6,Africa,Male
Bhutan,23.4,Asia,Male
Bolivia,24.6,South America,Male
Bosnia and Herzegovina,26.5,Europe,Male
Botswana,22.9,Africa,Male
Brazil,25.9,South America,Male
Bulgaria,26.7,Europe,Male
Burkina Faso,22.1,Africa,Male
Burundi,20.4,Africa,Male
Cambodia,21.9,Asia,Male
Cameroon,23.8,Africa,Male
Canada,27.6,North America,Male
Central African Republic,21.6,Africa,Male
Chad,22.1,Africa,Male
Chile,27.6,South America,Male
China,24.2,Asia,Male
Colombia,25.4,South America,Male
Comoros,23,Africa,Male
Congo,22.5,Africa,Male
Congo-Brazzaville,23.7,Asia,Male
Costa Rica,26.7,Central America,Male
Croatia,26.5,Europe,Male
Cuba,25.6,Carribbean,Male
Cyprus,27.6,Middle East,Male
Czech Republic,27.8,Europe,Male
Denmark,26,Europe,Male
Djibouti,22.7,Africa,Male
Dominica,25.1,Carribbean,Male
Dominican Republic,26,Carribbean,Male
Ecuador,26.4,South America,Male
Egypt,27.6,Middle East,Male
El Salvador,26.8,Central America,Male
Equatorial Guinea,25,Africa,Male
Eritrea,20.1,Africa,Male
Estonia,27,Europe,Male
Ethiopia,20.2,Africa,Male
Fiji,26.1,Oceania,Male
Finland,26.5,Europe,Male
France,26.1,Europe,Male
Gabon,24.6,Africa,Male
Gambia,23,Africa,Male
Georgia,27.2,Europe,Male
Germany,27,Europe,Male
Ghana,23.4,Africa,Male
Greece,27.4,Europe,Male
Grenada,25.2,Carribbean,Male
Guatemala,25.8,Central America,Male
Guinea,22.1,Africa,Male
Guinea-Bissau,22.2,Africa,Male
Guyana,25,South America,Male
Haiti,24.2,Carribbean,Male
Honduras,25.5,Central America,Male
Hungary,27.5,Europe,Male
Iceland,26.7,Europe,Male
India,21.8,Asia,Male
Indonesia,22.4,Asia,Male
Iran,25.3,Middle East,Male
Iraq,27.2,Middle East,Male
Ireland,27.9,Europe,Male
Israel,26.3,Middle East,Male
Italy,26.8,Europe,Male
Jamaica,25.5,Carribbean,Male
Japan,23.6,Asia,Male
Jordan,28.2,Middle East,Male
Kazakhstan,27.4,Asia,Male
Kenya,21.9,Africa,Male
Kiribati,28.7,Oceania,Male
Kuwait,29.5,Middle East,Male
Kyrgyzstan,25.6,Asia,Male
Latvia,26.8,Europe,Male
Lebanon,28,Middle East,Male
Lesotho,22.7,Africa,Male
Liberia,23.2,Africa,Male
Libya,27.2,Middle East,Male
Lithuania,27.3,Europe,Male
Luxembourg,27.6,Europe,Male
Madagascar,20.9,Africa,Male
Malawi,22.3,Africa,Male
Malaysia,25,Asia,Male
Maldives,24.2,Asia,Male
Mali,22.6,Africa,Male
Malta,27.5,Europe,Male
Mauritania,23.2,Africa,Male
Mauritius,25,Africa,Male
Mexico,27.5,Central America,Male
Mongolia,25.5,Asia,Male
Montenegro,26.5,Europe,Male
Morocco,25.2,Middle East,Male
Mozambique,21.6,Africa,Male
Myanmar,22.1,Asia,Male
Namibia,22.9,Africa,Male
Nepal,22.4,Asia,Male
Netherlands,25.9,Europe,Male
New Zealand,28,Oceania,Male
Nicaragua,26,Central America,Male
Niger,21.3,Africa,Male
Nigeria,22.8,Africa,Male
Norway,26.9,Europe,Male
Oman,26.8,Middle East,Male
Pakistan,23.3,Middle East,Male
Panama,26.4,Central America,Male
Papua New Guinea,25,Oceania,Male
Paraguay,25.6,South America,Male
Peru,25.7,South America,Male
Philippines,22.9,Asia,Male
Poland,27,Europe,Male
Portugal,26.7,Europe,Male
Qatar,29,Middle East,Male
Romania,25.7,Europe,Male
Russia,26.1,Europe,Male
Rwanda,21.3,Africa,Male
Saint Kitts and Nevis,28.4,Carribbean,Male
Saint Lucia,28.9,Carribbean,Male
Saint Vincent and the Grenadines,26.5,Carribbean,Male
Samoa,29.9,Oceania,Male
Sao Tome and Principe,23.9,Carribbean,Male
Saudi Arabia,28.3,Middle East,Male
Senegal,21.8,Africa,Male
Serbia,26.4,Europe,Male
Seychelles,25.6,Oceania,Male
Sierra Leone,22,Africa,Male
Singapore,24.3,Asia,Male
Slovak Republic,27.4,Europe,Male
Slovenia,27.5,Europe,Male
Solomon Islands,24.5,Oceania,Male
Somalia,21.2,Africa,Male
South Africa,25.4,Africa,Male
Spain,27.4,Europe,Male
Sri Lanka,22.5,Asia,Male
Sudan,23.7,Africa,Male
Suriname,26.5,South America,Male
Swaziland,24.1,Africa,Male
Sweden,26.7,Europe,Male
Switzerland,26.7,Europe,Male
Syria,27.2,Middle East,Male
Tajikistan,25.5,Middle East,Male
Thailand,23.6,Asia,Male
Timor-Leste,21.5,Asia,Male
Togo,22.4,Africa,Male
Tonga,30.4,Oceania,Male
Trinidad and Tobago,27.9,Carribbean,Male
Tunisia,26,Middle East,Male
Turkey,27.1,Middle East,Male
Turkmenistan,26.4,Middle East,Male
Tuvalu,28.7,Oceania,Male
UK,27.5,Europe,Male
USA,28.8,North America,Male
Uganda,21,Africa,Male
Ukraine,26.4,Europe,Male
Uruguay,26.7,South America,Male
Uzbekistan,25.9,Asia,Male
Vanuatu,25.6,Oceania,Male
Venezuela,27.4,South America,Male
Yemen,25.2,Middle East,Male
Zambia,21.5,Africa,Male
Zimbabwe,21.8,Africa,Male
