Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,United States of America,18+  years,Male,28.8 [28.2-29.3],28.8,28.2,29.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Saint Lucia,18+  years,Male,28.9 [28-29.9],28.9,28,29.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Marshall Islands,18+  years,Both sexes,29.1 [28.4-29.9],29.1,28.4,29.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Jamaica,18+  years,Female,29.2 [28.2-30.3],29.2,28.2,30.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Palau,18+  years,Male,29.4 [28.4-30.3],29.4,28.4,30.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Kuwait,18+  years,Both sexes,29.5 [28.9-30.2],29.5,28.9,30.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Palau,18+  years,Female,29.5 [28.5-30.6],29.5,28.5,30.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Jordan,18+  years,Female,29.7 [29-30.4],29.7,29,30.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Barbados,18+  years,Female,30 [27.9-32],30,27.9,32,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Marshall Islands,18+  years,Female,30 [28.6-31.5],30,28.6,31.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Tonga,18+  years,Male,30.3 [29.6-30.9],30.3,29.6,30.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Saint Kitts and Nevis,18+  years,Female,30.3 [28.9-31.7],30.3,28.9,31.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Micronesia (Federated States of),18+  years,Female,31 [30-32],31,30,32,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Tonga,18+  years,Both sexes,31.9 [31.3-32.6],31.9,31.3,32.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Cook Islands,18+  years,Male,32.1 [30.8-33.4],32.1,30.8,33.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Cook Islands,18+  years,Female,32.6 [31.2-34],32.6,31.2,34,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,San Marino,18+  years,Male,No data,,,,Estimate could not be calculated due to lack of covariate data.
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,San Marino,18+  years,Both sexes,No data,,,,Estimate could not be calculated due to lack of covariate data.
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,San Marino,18+  years,Male,No data,,,,Estimate could not be calculated due to lack of covariate data.
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Ethiopia,18+  years,Both sexes,20.6 [20-21.2],20.6,20,21.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Timor-Leste,18+  years,Male,21.1 [18.7-23.5],21.1,18.7,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Viet Nam,18+  years,Both sexes,21.1 [20.7-21.5],21.1,20.7,21.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Somalia,18+  years,Male,21.2 [18.8-23.8],21.2,18.8,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Central African Republic,18+  years,Male,21.5 [20.1-22.9],21.5,20.1,22.9,
