Indicator,PUBLISH STATES,Year,WHO region,Country,Age Group,Sex,Display Value,Numeric,Low,High,Comments
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Bangladesh,18+  years,Female,21.2 [20.4-22],21.2,20.4,22,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Burundi,18+  years,Female,21.3 [20.2-22.5],21.3,20.2,22.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mozambique,18+  years,Male,21.4 [20.5-22.4],21.4,20.5,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Senegal,18+  years,Male,21.6 [20.9-22.4],21.6,20.9,22.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Kenya,18+  years,Male,21.7 [20-23.4],21.7,20,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Rwanda,18+  years,Both sexes,21.7 [21.3-22.1],21.7,21.3,22.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Japan,18+  years,Female,21.7 [21.1-22.3],21.7,21.1,22.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Burkina Faso,18+  years,Male,21.9 [21.1-22.6],21.9,21.1,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Democratic Republic of the Congo,18+  years,Both sexes,21.9 [21.2-22.6],21.9,21.2,22.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Cambodia,18+  years,Male,21.9 [20.9-22.8],21.9,20.9,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Sri Lanka,18+  years,Male,22 [21.3-22.8],22,21.3,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Rwanda,18+  years,Both sexes,22 [21.5-22.5],22,21.5,22.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Democratic Republic of the Congo,18+  years,Female,22.1 [21.4-22.7],22.1,21.4,22.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,United Republic of Tanzania,18+  years,Male,22.2 [21.5-22.9],22.2,21.5,22.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Niger,18+  years,Female,22.2 [21.4-23],22.2,21.4,23,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Nepal,18+  years,Both sexes,22.2 [21.7-22.8],22.2,21.7,22.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Chad,18+  years,Both sexes,22.3 [21.3-23.3],22.3,21.3,23.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Indonesia,18+  years,Male,22.4 [21.5-23.4],22.4,21.5,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Nepal,18+  years,Male,22.4 [21.6-23.2],22.4,21.6,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Togo,18+  years,Male,22.4 [21.5-23.4],22.4,21.5,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Guinea,18+  years,Both sexes,22.5 [21.8-23.2],22.5,21.8,23.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Indonesia,18+  years,Both sexes,22.5 [22-22.9],22.5,22,22.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Malawi,18+  years,Both sexes,22.5 [22-22.9],22.5,22,22.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Democratic Republic of the Congo,18+  years,Female,22.5 [21.7-23.3],22.5,21.7,23.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Somalia,18+  years,Female,22.5 [19.4-25.6],22.5,19.4,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Japan,18+  years,Both sexes,22.6 [22.2-23],22.6,22.2,23,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Rwanda,18+  years,Female,22.7 [21.9-23.4],22.7,21.9,23.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Guinea,18+  years,Both sexes,22.7 [22-23.5],22.7,22,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Nigeria,18+  years,Male,22.8 [21.8-23.7],22.8,21.8,23.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mali,18+  years,Both sexes,22.8 [22-23.5],22.8,22,23.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Philippines,18+  years,Male,22.9 [22-24],22.9,22,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Indonesia,18+  years,Both sexes,22.9 [22.3-23.6],22.9,22.3,23.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Bhutan,18+  years,Male,23 [22.3-23.8],23,22.3,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Sri Lanka,18+  years,Female,23 [22.2-23.9],23,22.2,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Congo,18+  years,Both sexes,23 [22.1-23.8],23,22.1,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Senegal,18+  years,Both sexes,23 [22.3-23.6],23,22.3,23.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Sri Lanka,18+  years,Both sexes,23 [22.2-23.8],23,22.2,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Ghana,18+  years,Male,23.1 [22.4-23.8],23.1,22.4,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Guinea-Bissau,18+  years,Both sexes,23.1 [21.7-24.4],23.1,21.7,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Guinea,18+  years,Female,23.3 [22.5-24.2],23.3,22.5,24.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Malawi,18+  years,Female,23.3 [22.5-24.1],23.3,22.5,24.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Nigeria,18+  years,Both sexes,23.4 [22.7-24],23.4,22.7,24,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cabo Verde,18+  years,Male,23.6 [22.7-24.5],23.6,22.7,24.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Angola,18+  years,Both sexes,23.6 [21.8-25.6],23.6,21.8,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Republic of Korea,18+  years,Both sexes,23.6 [23.3-23.8],23.6,23.3,23.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Singapore,18+  years,Both sexes,23.6 [23.3-23.9],23.6,23.3,23.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,South-East Asia,Bhutan,18+  years,Female,23.7 [22.8-24.6],23.7,22.8,24.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Djibouti,18+  years,Female,23.7 [20.8-26.7],23.7,20.8,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Benin,18+  years,Female,23.8 [23.2-24.3],23.8,23.2,24.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Cote d'Ivoire,18+  years,Female,23.8 [23.1-24.4],23.8,23.1,24.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cameroon,18+  years,Male,23.8 [22.4-25.2],23.8,22.4,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Sao Tome and Principe,18+  years,Male,23.9 [23.1-24.8],23.9,23.1,24.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Kenya,18+  years,Female,24 [23-25.1],24,23,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Togo,18+  years,Female,24 [23-25.1],24,23,25.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Swaziland,18+  years,Male,24.1 [23-25.3],24.1,23,25.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cote d'Ivoire,18+  years,Female,24.1 [23.2-24.9],24.1,23.2,24.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Haiti,18+  years,Male,24.2 [21.7-26.8],24.2,21.7,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,South-East Asia,Maldives,18+  years,Male,24.2 [23.3-25.2],24.2,23.3,25.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Liberia,18+  years,Female,24.3 [23.7-25],24.3,23.7,25,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,France,18+  years,Female,24.5 [23.7-25.4],24.5,23.7,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mauritania,18+  years,Both sexes,24.5 [23.5-25.4],24.5,23.5,25.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Bolivia (Plurinational State of),18+  years,Male,24.6 [23.2-26],24.6,23.2,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Mauritius,18+  years,Male,24.7 [24-25.3],24.7,24,25.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Papua New Guinea,18+  years,Male,24.8 [23.9-25.6],24.8,23.9,25.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Netherlands,18+  years,Female,24.9 [24.1-25.7],24.9,24.1,25.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Romania,18+  years,Female,24.9 [23.2-26.6],24.9,23.2,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Sweden,18+  years,Female,24.9 [23.7-26],24.9,23.7,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Colombia,18+  years,Male,25 [24.4-25.5],25,24.4,25.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Equatorial Guinea,18+  years,Male,25 [22.5-27.7],25,22.5,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Jamaica,18+  years,Male,25.1 [24.3-25.8],25.1,24.3,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Comoros,18+  years,Female,25.1 [24.4-26],25.1,24.4,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Sao Tome and Principe,18+  years,Female,25.2 [24.4-26],25.2,24.4,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Serbia,18+  years,Female,25.2 [24.3-26.1],25.2,24.3,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Norway,18+  years,Female,25.2 [23.9-26.4],25.2,23.9,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Africa,Namibia,18+  years,Female,25.3 [24.4-26.1],25.3,24.4,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Papua New Guinea,18+  years,Female,25.3 [24.2-26.3],25.3,24.2,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Tajikistan,18+  years,Female,25.3 [24.3-26.4],25.3,24.3,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Switzerland,18+  years,Both sexes,25.3 [24.5-26],25.3,24.5,26,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Uzbekistan,18+  years,Male,25.4 [24.3-26.4],25.4,24.3,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Finland,18+  years,Female,25.4 [25-25.8],25.4,25,25.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Luxembourg,18+  years,Female,25.4 [24.4-26.3],25.4,24.4,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Solomon Islands,18+  years,Both sexes,25.4 [24.7-26.1],25.4,24.7,26.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Cabo Verde,18+  years,Female,25.4 [24.2-26.6],25.4,24.2,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Brunei Darussalam,18+  years,Male,25.5 [23.2-27.9],25.5,23.2,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Dominican Republic,18+  years,Male,25.5 [24.3-26.7],25.5,24.3,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Honduras,18+  years,Male,25.5 [23.9-27.1],25.5,23.9,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Mongolia,18+  years,Male,25.5 [24.9-26.2],25.5,24.9,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Croatia,18+  years,Both sexes,25.5 [24.4-26.7],25.5,24.4,26.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Equatorial Guinea,18+  years,Both sexes,25.6 [23.4-27.9],25.6,23.4,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mauritius,18+  years,Both sexes,25.6 [24.9-26.3],25.6,24.9,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Morocco,18+  years,Both sexes,25.6 [24.7-26.4],25.6,24.7,26.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Netherlands,18+  years,Male,25.7 [25-26.3],25.7,25,26.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Portugal,18+  years,Female,25.7 [24.7-26.6],25.7,24.7,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Uzbekistan,18+  years,Female,25.7 [24.5-26.9],25.7,24.5,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Poland,18+  years,Female,25.7 [24.6-26.9],25.7,24.6,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Bulgaria,18+  years,Both sexes,25.8 [25.1-26.6],25.8,25.1,26.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Guyana,18+  years,Both sexes,25.8 [25.1-26.5],25.8,25.1,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Paraguay,18+  years,Both sexes,25.8 [23.8-27.8],25.8,23.8,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Serbia,18+  years,Both sexes,25.8 [25.1-26.5],25.8,25.1,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,The former Yugoslav republic of Macedonia,18+  years,Both sexes,25.8 [24.2-27.3],25.8,24.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Saint Vincent and the Grenadines,18+  years,Male,25.9 [23.6-28.2],25.9,23.6,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Iran (Islamic Republic of),18+  years,Both sexes,25.9 [25.7-26.2],25.9,25.7,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Italy,18+  years,Both sexes,25.9 [25.5-26.2],25.9,25.5,26.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Uzbekistan,18+  years,Male,25.9 [24.6-27.2],25.9,24.6,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Panama,18+  years,Male,26 [24.9-27],26,24.9,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Bosnia and Herzegovina,18+  years,Both sexes,26 [25.2-26.8],26,25.2,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Vanuatu,18+  years,Both sexes,26 [25.5-26.5],26,25.5,26.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Paraguay,18+  years,Female,26 [22.9-29.1],26,22.9,29.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Spain,18+  years,Female,26 [25.1-26.9],26,25.1,26.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Belgium,18+  years,Male,26.1 [25.2-27],26.1,25.2,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Portugal,18+  years,Both sexes,26.1 [25.4-26.8],26.1,25.4,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Bosnia and Herzegovina,18+  years,Both sexes,26.1 [25.1-27.1],26.1,25.1,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Uzbekistan,18+  years,Both sexes,26.1 [25.1-27],26.1,25.1,27,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Austria,18+  years,Male,26.2 [24.6-27.9],26.2,24.6,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Bosnia and Herzegovina,18+  years,Male,26.2 [25.2-27.3],26.2,25.2,27.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Slovenia,18+  years,Female,26.2 [23.4-29.2],26.2,23.4,29.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Belarus,18+  years,Female,26.2 [23.1-29.4],26.2,23.1,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Israel,18+  years,Female,26.2 [25.1-27.4],26.2,25.1,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Armenia,18+  years,Both sexes,26.3 [25.5-27.1],26.3,25.5,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Slovenia,18+  years,Female,26.3 [23.3-29.5],26.3,23.3,29.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Finland,18+  years,Male,26.4 [26-26.8],26.4,26,26.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Lithuania,18+  years,Both sexes,26.4 [25.6-27.2],26.4,25.6,27.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Ukraine,18+  years,Male,26.4 [23.9-28.9],26.4,23.9,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Mauritania,18+  years,Female,26.4 [25-27.8],26.4,25,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Portugal,18+  years,Male,26.5 [25.7-27.4],26.5,25.7,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Croatia,18+  years,Male,26.5 [24.9-28.1],26.5,24.9,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Finland,18+  years,Male,26.5 [25.9-27.1],26.5,25.9,27.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Swaziland,18+  years,Both sexes,26.5 [25.7-27.4],26.5,25.7,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Azerbaijan,18+  years,Male,26.6 [25.4-27.8],26.6,25.4,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Iraq,18+  years,Male,26.7 [25.8-27.6],26.7,25.8,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Costa Rica,18+  years,Male,26.7 [25.9-27.5],26.7,25.9,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Iceland,18+  years,Male,26.7 [25.2-28.4],26.7,25.2,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Cuba,18+  years,Female,26.7 [25.2-28.2],26.7,25.2,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,South Sudan,18+  years,Female,26.7 [25.5-28],26.7,25.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Armenia,18+  years,Both sexes,26.7 [25.8-27.6],26.7,25.8,27.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Kazakhstan,18+  years,Male,26.8 [25.1-28.6],26.8,25.1,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,El Salvador,18+  years,Male,26.8 [25.1-28.4],26.8,25.1,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Italy,18+  years,Male,26.8 [26.1-27.5],26.8,26.1,27.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Latvia,18+  years,Male,26.8 [25.2-28.3],26.8,25.2,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Seychelles,18+  years,Both sexes,26.8 [26.2-27.4],26.8,26.2,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Uruguay,18+  years,Both sexes,26.8 [26-27.7],26.8,26,27.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Jamaica,18+  years,Both sexes,26.9 [26.3-27.4],26.9,26.3,27.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Nicaragua,18+  years,Both sexes,26.9 [25.9-27.8],26.9,25.9,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Slovakia,18+  years,Male,27 [26.2-27.9],27,26.2,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Estonia,18+  years,Male,27 [25.8-28.4],27,25.8,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Tunisia,18+  years,Female,27.1 [26-28.2],27.1,26,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Lesotho,18+  years,Female,27.1 [26.2-27.9],27.1,26.2,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Oman,18+  years,Female,27.1 [25.7-28.6],27.1,25.7,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Slovenia,18+  years,Male,27.2 [24.8-29.4],27.2,24.8,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Georgia,18+  years,Male,27.2 [26.2-28.1],27.2,26.2,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Fiji,18+  years,Both sexes,27.2 [26.6-27.8],27.2,26.6,27.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Bolivia (Plurinational State of),18+  years,Female,27.3 [26.1-28.5],27.3,26.1,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Honduras,18+  years,Female,27.3 [26.5-28.1],27.3,26.5,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Cyprus,18+  years,Male,27.4 [26.3-28.6],27.4,26.3,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Lebanon,18+  years,Male,27.4 [26.7-28.1],27.4,26.7,28.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Nicaragua,18+  years,Female,27.4 [26.6-28.2],27.4,26.6,28.2,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Dominican Republic,18+  years,Female,27.4 [25.8-29],27.4,25.8,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Andorra,18+  years,Male,27.5 [25.2-29.9],27.5,25.2,29.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,New Zealand,18+  years,Female,27.5 [27.1-27.9],27.5,27.1,27.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Hungary,18+  years,Male,27.5 [26.3-28.9],27.5,26.3,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Europe,Czech Republic,18+  years,Male,27.6 [26.9-28.3],27.6,26.9,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Canada,18+  years,Male,27.6 [26.8-28.3],27.6,26.8,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Cyprus,18+  years,Male,27.6 [26.3-29],27.6,26.3,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Chile,18+  years,Female,27.7 [27-28.4],27.7,27,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Saudi Arabia,18+  years,Male,27.8 [27.1-28.6],27.8,27.1,28.6,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Mexico,18+  years,Both sexes,27.8 [27.5-28],27.8,27.5,28,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Nicaragua,18+  years,Female,27.8 [26.7-28.9],27.8,26.7,28.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Chile,18+  years,Both sexes,27.8 [27.2-28.4],27.8,27.2,28.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Lebanon,18+  years,Both sexes,27.8 [27.1-28.5],27.8,27.1,28.5,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Europe,Turkey,18+  years,Both sexes,27.8 [27.4-28.3],27.8,27.4,28.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Trinidad and Tobago,18+  years,Both sexes,28 [26.9-29],28,26.9,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Bahamas,18+  years,Male,28 [25.6-30.4],28,25.6,30.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Africa,Seychelles,18+  years,Female,28 [27.2-28.8],28,27.2,28.8,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,United Arab Emirates,18+  years,Male,28.2 [27.1-29.3],28.2,27.1,29.3,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Fiji,18+  years,Female,28.3 [27.6-29],28.3,27.6,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Marshall Islands,18+  years,Male,28.4 [27.1-29.7],28.4,27.1,29.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Western Pacific,Fiji,18+  years,Female,28.4 [27.5-29.4],28.4,27.5,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Jordan,18+  years,Both sexes,28.6 [28.2-29],28.6,28.2,29,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Barbados,18+  years,Both sexes,28.7 [27.5-30],28.7,27.5,30,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Iraq,18+  years,Female,28.8 [27.6-30.1],28.8,27.6,30.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,United States of America,18+  years,Female,28.8 [28.2-29.4],28.8,28.2,29.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Americas,Bahamas,18+  years,Both sexes,28.8 [26.9-30.7],28.8,26.9,30.7,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Eastern Mediterranean,Libya,18+  years,Female,29.2 [28.3-30.1],29.2,28.3,30.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Qatar,18+  years,Both sexes,29.2 [28.7-29.9],29.2,28.7,29.9,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Saint Lucia,18+  years,Female,29.4 [28.5-30.4],29.4,28.5,30.4,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Western Pacific,Kiribati,18+  years,Both sexes,29.4 [28.7-30.1],29.4,28.7,30.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2010,Americas,Barbados,18+  years,Female,29.5 [27.8-31.1],29.5,27.8,31.1,
Mean BMI (kg/m2) (age-standardized estimate),Published,2014,Eastern Mediterranean,Libya,18+  years,Female,29.6 [28.5-30.7],29.6,28.5,30.7,
