"Data Source","World Development Indicators",

"Last Updated Date","2016-10-04",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Bosnia and Herzegovina","BIH","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3518.10635168248","3724.20791179936","3931.32749227895","3753.04912096539","3759.57222226949","3761.13024176969","3736.27684105692","3740.49177992485","3827.97370867453","","",
"Belarus","BLR","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1041.77812403561","976.317474640519","920.817817870223","873.756165919723","752.455313584976","666.905661922184","704.820223813143","784.763448946886","892.961791061845","977.48077332271","1056.17903306188","1248.5740081412","1395.27339993047","1506.01007319596","1658.93208206919","1915.01872971923","2171.56846998539","2473.21834912743","2886.7890053892","2893.17138400408","3169.06213023344","3246.67397173972","3596.85421780544","3984.05858084379","4146.71327223846","4036.16857194149","",
"Belize","BLZ","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","3209.37599821709","2461.39875127913","2658.59193891219","2377.51337343186","2011.19095160428","1888.42921540556","1664.28714154876","2041.3169745216","2423.63276458157","2595.38516588721","2563.59619913454","2956.2551455869","3025.02194814987","3081.67722584582","2818.75060457704","2849.37617455357","2824.96461097269","2786.86657756756","2861.66902854551","2991.13981713449","3068.33039087236","3264.61650492919","3387.69923620815","3422.58036492339","3328.36018743275","3178.11878288703","3020.77132265048","3041.58539387964","2908.02863516668","2955.06507501822","3048.99054441884","3117.49310588403","3154.23496276121","3252.50970212643","3203.41509088039","","",
"Bermuda","BMU","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48546.5726920951","","","","","","",
"Bolivia","BOL","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","679.842664238402","715.461781446043","702.923589852719","728.124223921424","719.870574696884","756.716977449925","798.028528994385","829.515545350195","836.817621200848","873.31772878504","922.078134559754","935.30222584188","924.967244417074","980.51121832654","990.193407727391","1008.85714848591","1064.25090687315","1094.82515098234","1040.91728006205","1027.01648533239","1023.46148002772","1005.72837245767","944.986317896459","882.793389483477","864.405845215869","880.556039474767","905.938673389367","915.773532482679","905.979156022024","904.282190945115","916.656580592128","928.662477187286","942.913875801325","955.228591826953","964.028751158592","973.046959110194","985.200351445066","1018.44127580998","1051.1883104019","1059.57250335758","1063.59481591542","1057.20833315785","1059.25560993383","1059.97034432631","1071.67941800963","1088.22702216594","1113.26311440821","1140.25887026415","1182.92802079394","1206.41198793097","1234.23257223227","1277.84163414316","1315.73646271661","1372.12426345464","1424.3145369751","","",
"Brazil","BRA","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","1923.3000259378","2038.71589400886","2103.79527047896","2026.97776539666","2034.81996462315","1997.52554282437","2025.23329893072","2144.66991245475","2334.3067092347","2179.66525583906","2515.42125722051","2772.02181311672","3016.83321856581","3213.97357885533","3513.95178405756","3249.15538575328","3726.52292224042","4056.18850364228","4035.46294951947","4355.35765823687","4633.12217467529","4419.76323454014","4458.17912490495","4581.47168527906","4905.93207815952","4743.17798897882","4686.99344236597","4415.41327755516","4390.37489390144","4143.93656338104","4191.42775254404","4463.4314566779","4364.34693016248","4492.06999306278","4752.69743228095","5083.33588453302","5166.8952071348","5241.64746952635","5123.79218563642","5064.88797073199","5190.33357481992","5153.14094815854","5145.34699889573","5045.29397121244","5173.0719346591","5334.17831631121","5550.75878756636","5840.6768728992","6154.95192736087","6366.02225824985","6697.62975509808","6948.46298700455","7124.96094381603","7305.61988809849","7336.7999599812","6983.55940814314","",
"Barbados","BRB","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","5408.83889380462","5965.87674630717","5745.35657953085","5985.54357797894","5890.14881129123","5487.43148561824","3932.42748396634","3918.87053322322","6309.26647603914","7186.55604820965","10697.787542113","10705.8310489943","11711.802650672","12316.489515295","12573.094835274","12486.0946615911","12247.8648626463","11230.464167609","12694.6816100552","13557.3581508568","13916.7399075816","13382.2460007855","12617.5023242687","11778.5690137041","11190.5596531767","10827.7410276747","10778.6911417689","10663.6400274021","10130.373026099","","",
"Brunei Darussalam","BRN","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5523.42037634565","5627.31558394411","5377.32448603393","6395.94398722916","7289.84556768267","6542.36467343962","6071.272797141","6595.42979280922","7273.03906512117","6412.49504111595","6096.29751237965","5554.58081870183","5676.64593322101","5611.82798711858","6384.26130489755","7043.32473569088","6883.73749236761","7019.06039363644","7038.98891552621","7043.65851472195","7274.78034493221","7288.53906929697","7439.68663974843","7711.86459908962","7814.51326992665","","","",
"Bhutan","BTN","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666.096428742003","497.49761329342","546.185510643519","610.311536149753","692.596263979713","844.249585359207","782.462237944164","1029.28312511323","1131.49961309478","889.380478032946","964.11851453448","967.564834798853","999.963168353528","1123.91758763669","1301.10706338384","","",
"Botswana","BWA","Household final consumption expenditure per capita (constant 2010 US$)","NE.CON.PRVT.PC.KD","","","","","","","","","","","","","","","","779.375237936877","829.8579943719","868.225490194523","941.0545971964","1018.25486041749","1000.10069427578","946.220188792834","869.783187591711","784.550276396945","814.0401285735","923.568150052721","956.229300830072","928.397556930162","981.087627985257","1191.51497254878","1416.10888093153","1513.03839620595","1452.36671988697","1380.51540104228","1377.38100790853","1572.75209180198","1621.54239723952","1801.62786328315","1803.86000886613","1772.60826307126","1721.14911535597","1620.13317765805","1677.40602677507","1677.43562134047","1705.18996619835","1860.30145775038","2144.73028838476","2421.89271793836","2785.85274661064","2882.35988775508","3068.69038362316","3244.06981636145","3143.16426460581","3400.83414511749","3478.06897088328","3501.64515389231","",
